,City ID,City Name,Country,Latitude,Longitude,Max Temperature,Humidity,Clouds,Wind Speed,Date
156,702679,Luhyny,UA,51.082,28.4006,9.41,89,7,5.64,1612651840
157,2174444,Bowen,AU,-20.0167,148.2333,78.8,89,40,6.08,1612651621
158,3883457,Lebu,CL,-37.6167,-73.65,60.76,86,65,3.11,1612651845
159,1523662,Kachīry,KZ,53.0675,76.1036,32.94,97,100,20.4,1612651847
160,3372783,Ponta Delgada,PT,37.7333,-25.6667,60.01,94,75,16.11,1612651850
161,6355222,Yulara,AU,-25.2406,130.9889,75.2,33,0,10.36,1612651689
162,2088122,Port Moresby,PG,-9.4431,147.1797,78.8,83,75,11.5,1612651854
163,1337607,Kudahuvadhoo,MV,2.6708,72.8944,81.01,77,32,13.4,1612651857
164,2108502,Honiara,SB,-9.4333,159.95,78.55,85,100,6.73,1612651553
165,2866135,Neubrandenburg,DE,53.5667,13.2667,27.0,56,100,4.0,1612651861
166,1282027,Malé,MV,4.1748,73.5089,82.4,78,40,10.36,1612651815
167,2027316,Ayan,RU,56.45,138.1667,-4.31,90,100,15.61,1612651866
168,233346,Gulu,UG,2.7746,32.299,69.15,25,28,4.88,1612651583
169,5554428,Ketchikan,US,55.3422,-131.6461,39.2,93,75,8.05,1612651675
170,2186111,Ngunguru,NZ,-35.6167,174.5,70.0,70,99,8.01,1612651874
171,3380290,Sinnamary,GF,5.3833,-52.95,77.72,86,100,13.53,1612651629
172,3352461,Usakos,NA,-22.0,15.6,77.63,38,49,4.74,1612651879
173,1529376,Korla,CN,41.7597,86.1469,25.59,86,0,2.62,1612651881
174,2022572,Khatanga,RU,71.9667,102.5,-35.93,78,0,7.94,1612651868
175,3665210,Rodrigues Alves,BR,-7.738,-72.6509,82.4,89,75,2.3,1612651886
176,3664956,Boca do Acre,BR,-8.7522,-67.3978,78.3,89,9,1.66,1612651888
177,2112309,Katsuura,JP,35.1333,140.3,44.6,65,0,3.44,1612651891
178,5847411,Kahului,US,20.8947,-156.47,75.2,53,20,11.5,1612651814
179,2381334,Atar,MR,20.5169,-13.0499,60.31,35,38,11.68,1612651895
180,3441890,Departamento de Maldonado,UY,-34.6667,-54.9167,70.0,83,40,10.36,1612651366
181,3874579,Purranque,CL,-40.9167,-73.1667,82.4,26,0,12.66,1612651900
182,3576994,Cockburn Town,TC,21.4612,-71.1419,78.8,73,40,17.27,1612651305
